visits,hits,pageviews,transactions,totalTransactionRevenue
2,47,39,1,39.32
10,69,45,1,112.36
2,35,28,1,37.08
1,18,16,1,777.29
2,28,22,1,36.3
6,46,32,1,49.83
1,26,21,1,98.49
2,24,20,1,340.26
5,71,54,1,38.89
6,56,38,1,173.42
1,21,19,1,124.93
2,19,16,1,44.28
13,85,58,1,211.63
15,107,78,3,2444.04
2,27,20,1,15.37
5,48,36,1,60.47
2,22,17,1,56.53
4,30,22,1,90.46
1,25,19,1,159.04
4,23,22,1,195.07
2,64,53,2,62.09
2,16,12,1,1197.55
2,19,15,1,49.6
5,103,80,1,81.98
7,96,40,1,112.71
4,30,23,1,558.61
3,30,24,1,85.02
1,20,17,1,219.58
7,11,11,1,139.81
2,40,27,1,35.48
4,34,26,2,532.6
5,49,37,1,219.16
24,331,188,1,337.91
7,113,84,1,79.43
8,110,78,1,60.94
1,19,14,1,27.49
6,102,70,1,70.95
2,37,31,1,50.44
3,51,44,1,32.67
2,31,24,1,29.95
3,32,24,1,107.0
3,18,17,1,86.98
6,55,36,1,109.82
1,17,15,1,28.49
6,38,25,1,154.71
7,58,41,1,397.12
5,62,47,1,58.83
1,49,40,1,16.89
1,25,21,1,46.21
11,73,49,1,202.88
1,22,16,1,57.16
3,122,55,1,48.66
3,38,29,1,436.71
1,35,31,1,9.18
3,46,36,1,100.26
1,32,23,1,94.49
1,14,12,1,26.36
4,61,46,1,102.91
9,141,90,1,162.56
1,55,51,1,27.29
3,41,33,1,75.91
1,68,46,1,30.29
1,22,19,1,4.68
18,471,305,1,204.1
1,19,14,1,109.0
5,91,66,1,1155.6
3,55,43,1,100.47
6,29,23,1,54.64
3,46,34,1,17.81
1,24,21,1,17.89
4,32,24,1,23.03
22,68,46,1,748.27
3,39,32,1,291.35
5,32,22,1,853.37
1,12,10,1,109.45
5,12,10,1,95.05
1,16,14,1,40.94
1,11,11,1,88.19
1,46,32,1,40.49
1,36,29,1,40.49
1,39,28,1,6.89
1,19,17,1,98.77
1,43,32,1,117.49
5,45,35,1,88.9
3,35,25,1,69.36
3,65,50,1,21.46
1,17,15,1,3.01
12,86,64,2,380.54
10,145,91,1,193.88
8,20,20,1,104.3
4,56,44,1,112.46
2,19,15,1,53.9
1,42,34,1,79.67
12,157,107,1,205.35
3,53,35,1,42.37
4,42,31,1,45.7
1,61,46,1,28.69
1,25,19,1,42.29
1,20,17,1,31.99
1,14,12,1,27.51
1,23,21,1,7.26
1,32,30,1,98.09
11,124,87,1,49.96
1,36,29,1,35.49
2,14,14,1,163.4
1,24,18,1,45.94
1,24,11,1,70.45
4,62,48,1,133.13
1,15,11,1,11.64
10,200,123,1,342.02
26,193,128,2,836.42
5,62,48,1,110.45
17,9,9,1,487.97
2,36,30,1,84.33
1,28,21,1,23.31
8,162,92,1,237.98
2,21,15,1,50.08
3,33,24,1,50.22
3,46,37,1,35.35
1,33,21,1,137.58
3,36,25,1,111.52
2,45,38,1,142.98
3,19,17,1,38.86
11,100,72,1,86.19
6,65,48,1,72.18
4,54,44,1,86.23
2,51,39,1,45.48
2,49,37,1,60.44
3,110,85,1,53.47
1,19,16,1,28.49
6,100,66,1,197.83
7,63,48,1,50.89
5,82,58,1,236.17
4,97,72,1,42.91
4,39,29,1,29.74
4,34,26,2,1885.26
1,13,12,1,24.4
4,85,62,1,59.22
6,64,47,1,114.18
1,8,8,1,28.1
1,61,50,1,75.32
2,60,48,1,48.48
10,193,161,5,691.05
1,26,24,1,312.05
7,163,101,1,220.26
5,28,20,1,218.25
1,10,10,1,95.09
3,31,25,1,104.38
1,9,9,1,27.18
3,124,114,1,99.21
1,19,16,1,28.29
14,14,11,1,337.86
1,18,16,1,37.48
7,98,69,1,114.88
4,44,35,1,74.72
10,46,32,1,211.8
1,32,28,1,21.29
11,141,96,1,208.33
2,25,20,1,36.86
2,33,26,1,46.48
3,75,54,1,51.63
3,37,28,1,59.75
1,23,21,1,60.16
1,17,15,1,3.73
4,58,44,1,52.46
1,37,31,1,40.94
1,19,16,1,26.25
5,66,50,1,83.45
2,28,24,1,26.48
4,182,134,3,98.81
1,17,15,1,482.07
4,38,28,1,177.06
1,30,28,1,40.29
2,27,23,1,98.2
1,25,21,1,57.54
4,40,29,1,60.65
1,24,18,1,94.49
2,31,27,1,210.36
2,28,22,2,179.3
1,12,10,1,36.7
3,31,23,1,793.88
4,24,24,1,62.66
1,17,15,1,33.65
3,25,19,1,51.29
1,21,19,1,30.49
1,26,25,1,24.49
3,32,25,1,45.43
1,14,12,1,29.48
6,72,48,1,58.5
3,32,23,1,96.28
4,29,20,1,125.21
1,32,27,1,31.49
4,40,27,1,36.88
3,45,33,1,82.09
2,25,22,1,81.39
9,75,56,1,143.24
3,41,34,1,64.15
1,31,23,1,39.0
6,41,31,1,153.35
1,16,14,1,15.67
3,36,26,1,62.52
1,9,9,1,49.21
3,33,26,1,118.47
1,52,46,1,27.0
4,53,40,1,136.58
1,38,30,1,48.49
2,13,13,1,44.6
3,30,22,1,686.02
3,38,32,1,73.6
2,22,17,1,102.88
4,97,54,1,15.15
3,48,37,1,61.77
1,22,18,1,59.29
1,11,10,1,145.92
8,65,49,1,77.03
1,9,8,1,339.04
5,68,45,1,186.66
1,28,25,1,66.35
3,34,28,1,62.93
3,33,24,1,79.41
2,44,35,1,125.87
8,55,40,3,1049.06
2,39,30,1,178.13
4,37,28,1,69.23
1,21,18,1,72.39
5,35,25,1,44.05
4,53,45,1,466.44
6,54,36,1,103.63
2,22,18,1,45.44
3,21,15,1,72.69
1,22,20,1,34.74
9,73,57,1,51.92
1,21,16,1,90.44
1,15,12,1,36.49
3,40,28,1,355.32
8,84,59,1,79.15
4,27,23,1,100.81
1,15,13,1,38.14
5,81,34,1,77.85
1,16,12,1,49.03
3,20,18,1,51.45
6,126,90,1,75.44
4,38,29,1,70.31
4,48,37,1,130.22
1,14,14,1,106.19
9,81,54,1,91.43
3,30,25,1,26.6
1,23,17,1,40.79
4,42,31,1,62.52
4,35,27,1,146.33
5,40,30,1,146.41
2,32,27,1,44.48
1,12,10,1,56.55
5,159,108,1,105.54
2,17,15,1,45.02
4,26,20,1,160.06
3,55,49,1,36.47
4,30,22,1,143.01
5,17,14,1,141.07
1,9,9,1,50.61
1,32,20,1,32.89
2,37,29,1,49.28
4,37,27,1,131.44
1,38,30,1,19.26
5,51,40,1,179.01
1,19,16,1,48.56
6,71,53,1,134.44
1,15,12,1,39.05
6,44,33,1,164.43
3,44,32,1,28.62
8,60,41,1,161.49
9,84,60,1,249.14
7,70,53,1,78.19
3,43,32,1,69.1
17,118,80,1,347.29
14,126,78,1,370.95
15,159,101,2,701.39
4,55,37,1,78.61
1,15,15,1,97.49
2,15,12,1,405.82
13,246,149,1,287.37
1,19,16,1,59.14
9,47,34,1,289.34
4,123,78,1,1001.75
1,14,12,1,100.69
2,31,23,1,55.59
3,34,25,1,56.08
4,15,14,1,1251.33
1,13,11,1,97.69
8,86,63,1,242.53
9,62,44,1,283.84
2,28,23,1,20.47
3,28,21,1,4.47
5,41,31,1,39.79
1,15,13,1,10.84
5,69,50,1,69.11
1,14,14,1,47.63
2,36,32,1,102.48
3,25,18,1,99.21
4,63,52,1,107.67
1,68,48,1,21.09
2,24,18,1,31.81
2,30,23,1,68.7
3,61,46,1,66.52
1,24,19,1,40.31
2,75,59,1,33.97
3,66,57,3,363.93
3,86,64,1,69.07
5,59,44,1,86.45
8,140,59,1,312.19
18,79,52,1,367.69
1,34,27,1,39.25
2,50,41,1,68.48
5,35,25,1,69.22
10,76,50,1,359.99
17,229,147,2,708.03
2,28,22,1,66.16
15,94,64,1,257.95
1,11,9,1,30.89
3,51,42,1,124.98
1,13,11,1,25.49
1,18,15,1,37.49
2,101,94,2,295.8
11,74,52,1,322.14
4,56,45,1,256.78
2,17,15,1,43.13
1,26,23,1,215.3
1,19,15,1,15.89
4,52,41,1,451.7
3,40,34,1,77.67
3,96,73,1,24.66
2,48,41,1,37.68
5,42,29,1,38.45
2,23,17,1,59.72
7,22,19,1,66.48
10,25,19,1,1369.46
2,27,23,1,112.27
2,26,23,1,79.22
5,40,29,1,116.57
1,29,24,1,9.86
2,13,13,1,68.96
2,31,22,1,36.02
3,67,48,1,87.31
2,21,16,1,42.08
6,51,39,1,175.27
2,31,26,1,68.88
3,60,53,1,182.3
6,61,43,1,71.44
1,18,16,1,34.51
1,24,21,1,36.73
2,29,24,1,42.06
1,55,50,1,36.39
15,144,111,4,795.72
2,26,21,1,44.93
1,14,12,1,36.43
6,45,31,1,89.32
6,101,70,3,300.57
4,42,29,1,225.96
2,88,65,1,43.6
1,27,23,1,59.0
3,41,31,1,52.38
1,18,14,1,56.67
9,73,51,1,62.69
1,25,20,1,23.18
8,16,16,1,94.02
3,56,44,1,137.21
11,108,78,1,186.86
1,123,81,1,116.16
1,26,23,1,55.04
4,40,30,1,79.97
3,19,16,1,54.82
4,90,70,1,96.96
4,48,38,1,46.87
1,13,11,1,13.8
6,57,44,1,120.37
5,11,11,1,103.28
1,12,12,1,25.06
1,14,12,1,58.55
1,29,23,1,26.99
9,75,53,1,525.79
1,35,26,1,25.49
2,10,10,1,10.88
1,25,20,1,84.39
2,27,23,1,122.97
1,23,20,1,49.49
1,20,15,1,62.98
2,36,27,1,16.37
2,39,31,1,45.21
1,11,9,1,30.99
2,29,22,1,49.48
1,38,34,1,2.04
1,25,21,1,57.89
1,21,19,1,15.09
1,32,20,1,31.39
4,35,27,1,180.65
4,57,39,1,6.34
1,34,28,1,53.69
1,7,7,1,41.86
1,30,26,1,222.1
1,16,14,1,25.37
1,25,17,1,21.62
2,43,36,1,1.2
1,8,8,1,29.15
1,55,43,1,14.07
2,40,35,1,40.68
2,22,16,1,49.48
4,19,15,1,84.58
2,60,43,2,134.75
5,49,38,1,65.66
7,133,110,1,167.14
1,17,15,1,45.09
2,36,29,1,109.92
6,53,35,1,1455.77
3,55,40,1,78.15
5,33,26,1,102.77
6,51,36,1,100.54
3,63,47,1,71.03
6,58,37,1,121.74
3,77,54,1,48.53
7,61,44,1,64.03
2,89,66,1,112.28
7,105,95,1,190.39
1,57,43,1,76.53
6,64,50,1,231.16
10,36,24,1,210.67
5,57,40,1,68.66
5,50,33,1,66.69
2,23,17,1,44.88
1,9,8,1,41.17
3,121,101,1,92.5
1,17,14,1,122.99
2,22,17,1,88.51
6,72,54,2,122.07
5,143,126,2,215.86
1,21,18,1,41.86
1,23,21,1,28.28
1,30,22,1,28.92
1,21,19,1,231.66
1,14,11,1,21.26
1,36,29,1,332.31
7,70,55,2,315.46
2,61,43,1,43.6
5,56,40,1,267.99
7,56,42,1,284.33
3,55,38,1,49.68
3,43,36,1,79.44
1,25,20,1,29.66
2,18,14,1,70.48
1,51,39,1,28.49
